fx,days,link,ca,bmfx,n_days,index_last,index_ret_pct,bm_last,bm_ret_pct,excess_pp,fx_missing,ann_vol_pct,tracking_err_pct,max_drawdown_pct,max_daily_ret_pct,min_daily_ret_pct,repro_max_rel_err,reproduces_published
SAME_DAY,COMMON_OPEN_ONLY,DIVISOR_ADJUST,SPLIT_5_ON_LISTING,CONVERT,59,1337.7491269992192,33.77491269992192,1417.7850267863269,41.77850267863268,-8.003589978710757,0,42.39653668754488,32.960227370028925,-15.394362530000038,6.283694730617073,-7.2097656107750545,0.08033462268266904,False
SAME_DAY,COMMON_OPEN_ONLY,DIVISOR_ADJUST,SPLIT_5_ON_LISTING,LEVEL_ONLY,59,1337.7491269992192,33.77491269992192,1413.6772582050044,41.36772582050043,-7.592813120578512,0,42.39653668754488,32.73423706739574,-15.394362530000038,6.283694730617073,-7.2097656107750545,0.08033462268266904,False
SAME_DAY,COMMON_OPEN_ONLY,DIVISOR_ADJUST,SPLIT_5_ON_EFFECTIVE,CONVERT,59,1337.7491269992192,33.77491269992192,1417.7850267863269,41.77850267863268,-8.003589978710757,0,71.77477648281888,65.60987169388453,-15.394362530000038,23.687822056577936,-14.70841614178976,0.20285083301970772,False
SAME_DAY,COMMON_OPEN_ONLY,DIVISOR_ADJUST,SPLIT_5_ON_EFFECTIVE,LEVEL_ONLY,59,1337.7491269992192,33.77491269992192,1413.6772582050044,41.36772582050043,-7.592813120578512,0,71.77477648281888,65.81560456048409,-15.394362530000038,23.687822056577936,-14.70841614178976,0.20285083301970772,False
SAME_DAY,COMMON_OPEN_ONLY,DIVISOR_ADJUST,SPLIT_333_ON_LISTING,CONVERT,59,1309.9946722926234,30.999467229262343,1417.7850267863269,41.77850267863268,-10.779035449370333,0,42.0658452261023,32.6619265749997,-15.205052423596122,6.20331112411856,-7.254354407565478,0.04686186323155725,False
SAME_DAY,COMMON_OPEN_ONLY,DIVISOR_ADJUST,SPLIT_333_ON_LISTING,LEVEL_ONLY,59,1309.9946722926234,30.999467229262343,1413.6772582050044,41.36772582050043,-10.368258591238089,0,42.0658452261023,32.50513970128948,-15.205052423596122,6.20331112411856,-7.254354407565478,0.04686186323155725,False
SAME_DAY,UNION_CARRY,SEGMENT_RELINK,NONE,CONVERT,64,1271.1384357033883,27.113843570338837,1417.7850267863269,41.77850267863268,-14.664659108293844,0,40.43236645188907,31.67444674429084,-14.92552880909721,6.085275735267848,-7.320044854554597,1.056082388086356e-15,True
SAME_DAY,UNION_CARRY,SEGMENT_RELINK,NONE,LEVEL_ONLY,64,1271.1384357033883,27.113843570338837,1413.6772582050044,41.36772582050043,-14.253882250161599,0,40.43236645188907,31.613195998212095,-14.92552880909721,6.085275735267848,-7.320044854554597,1.056082388086356e-15,True
SAME_DAY,UNION_CARRY,SEGMENT_RELINK,SPLIT_5_ON_LISTING,CONVERT,64,1337.749126999218,33.77491269992181,1417.7850267863269,41.77850267863268,-8.003589978710867,0,40.45731351460849,31.413891602690647,-15.394362530000016,6.283694730617073,-7.209765610775043,0.08033462268266822,False
SAME_DAY,UNION_CARRY,SEGMENT_RELINK,SPLIT_5_ON_LISTING,LEVEL_ONLY,64,1337.749126999218,33.77491269992181,1413.6772582050044,41.36772582050043,-7.592813120578623,0,40.45731351460849,31.181362468886185,-15.394362530000016,6.283694730617073,-7.209765610775043,0.08033462268266822,False
SAME_DAY,UNION_CARRY,SEGMENT_RELINK,SPLIT_5_ON_EFFECTIVE,CONVERT,64,1337.749126999218,33.77491269992181,1417.7850267863269,41.77850267863268,-8.003589978710867,0,68.71511774415974,62.81253634405262,-15.394362530000016,23.687822056577936,-14.70841614178976,0.20285083301970666,False
SAME_DAY,UNION_CARRY,SEGMENT_RELINK,SPLIT_5_ON_EFFECTIVE,LEVEL_ONLY,64,1337.749126999218,33.77491269992181,1413.6772582050044,41.36772582050043,-7.592813120578623,0,68.71511774415974,63.00301294046137,-15.394362530000016,23.687822056577936,-14.70841614178976,0.20285083301970666,False
SAME_DAY,UNION_CARRY,SEGMENT_RELINK,SPLIT_333_ON_LISTING,CONVERT,64,1309.9946722926225,30.999467229262258,1417.7850267863269,41.77850267863268,-10.779035449370422,0,40.13721839787511,31.11545740041511,-15.205052423596111,6.20331112411856,-7.254354407565511,0.04686186323155623,False
SAME_DAY,UNION_CARRY,SEGMENT_RELINK,SPLIT_333_ON_LISTING,LEVEL_ONLY,64,1309.9946722926225,30.999467229262258,1413.6772582050044,41.36772582050043,-10.368258591238178,0,40.13721839787511,30.950704195891447,-15.205052423596111,6.20331112411856,-7.254354407565511,0.04686186323155623,False
SAME_DAY,UNION_CARRY,DIVISOR_ADJUST,NONE,CONVERT,64,1271.1384357033894,27.113843570338947,1417.7850267863269,41.77850267863268,-14.664659108293732,0,40.43236645188907,31.674446744290858,-14.9255288090972,6.085275735267848,-7.320044854554575,8.0501725552112715e-16,True
SAME_DAY,UNION_CARRY,DIVISOR_ADJUST,NONE,LEVEL_ONLY,64,1271.1384357033894,27.113843570338947,1413.6772582050044,41.36772582050043,-14.253882250161487,0,40.43236645188907,31.613195998212117,-14.9255288090972,6.085275735267848,-7.320044854554575,8.0501725552112715e-16,True
SAME_DAY,UNION_CARRY,DIVISOR_ADJUST,SPLIT_5_ON_LISTING,CONVERT,64,1337.7491269992192,33.77491269992192,1417.7850267863269,41.77850267863268,-8.003589978710757,0,40.45731351460853,31.413891602690647,-15.394362530000038,6.283694730617073,-7.2097656107750545,0.08033462268266904,False
SAME_DAY,UNION_CARRY,DIVISOR_ADJUST,SPLIT_5_ON_LISTING,LEVEL_ONLY,64,1337.7491269992192,33.77491269992192,1413.6772582050044,41.36772582050043,-7.592813120578512,0,40.45731351460853,31.18136246888618,-15.394362530000038,6.283694730617073,-7.2097656107750545,0.08033462268266904,False
SAME_DAY,UNION_CARRY,DIVISOR_ADJUST,SPLIT_5_ON_EFFECTIVE,CONVERT,64,1337.7491269992192,33.77491269992192,1417.7850267863269,41.77850267863268,-8.003589978710757,0,68.71511774415976,62.81253634405262,-15.394362530000038,23.687822056577936,-14.70841614178976,0.20285083301970772,False
SAME_DAY,UNION_CARRY,DIVISOR_ADJUST,SPLIT_5_ON_EFFECTIVE,LEVEL_ONLY,64,1337.7491269992192,33.77491269992192,1413.6772582050044,41.36772582050043,-7.592813120578512,0,68.71511774415976,63.00301294046135,-15.394362530000038,23.687822056577936,-14.70841614178976,0.20285083301970772,False
SAME_DAY,UNION_CARRY,DIVISOR_ADJUST,SPLIT_333_ON_LISTING,CONVERT,64,1309.9946722926234,30.999467229262343,1417.7850267863269,41.77850267863268,-10.779035449370333,0,40.13721839787506,31.115457400415085,-15.205052423596122,6.20331112411856,-7.254354407565478,0.04686186323155725,False
