market_date,index_level_asrun,index_level_corrected,benchmark_level,published_index_level,reproduction_rel_error
2026-06-10,1188.308787906719,1254.3597254941806,1301.0934106549432,1188.3087879067195,3.8268449708895117e-16
2026-06-11,1233.5280830341335,1297.759821069398,1315.4772321129494,1233.5280830341342,5.529837834351279e-16
2026-06-12,1253.5776330801605,1315.8502331361358,1356.6086173334027,1253.5776330801611,5.441394360664039e-16
2026-06-15,1314.4141901652547,1386.482480117675,1405.2111801981139,1314.4141901652554,5.1895439917910215e-16
2026-06-16,1295.3020614083575,1367.3703513607782,1417.285343713063,1295.302061408359,1.0532231000822127e-15
2026-06-17,1296.214883444258,1367.5834812612184,1427.349436043666,1296.214883444259,7.016542653454567e-16
2026-06-18,1304.2026450035214,1371.9328437160873,1459.343002036904,1304.202645003522,5.230176682610961e-16
2026-06-22,1310.5487883396768,1379.1186176147953,1476.7971030159806,1310.5487883396777,6.939800409301502e-16
2026-06-23,1214.6160291923907,1279.6873977902076,1373.990302068899,1214.6160291923916,7.487919473429467e-16
2026-06-24,1207.321178795039,1270.1535325593825,1403.8658557967806,1207.3211787950395,3.7665814107586707e-16
2026-06-25,1207.2988576431162,1268.591888709447,1456.4722824697844,1207.298857643117,5.649976573831351e-16
2026-06-26,1162.8587699846391,1219.6737713840234,1405.6858617942814,1162.8587699846398,5.865897423972701e-16
2026-06-29,1233.6219325499485,1296.3143478871998,1403.1859005202327,1233.6219325499492,5.529417144195247e-16
2026-06-30,1271.1384357033883,1337.749126999218,1417.7850267863269,1271.138435703389,5.366221389979779e-16
