"security_id","company_name","row_number","candidate_fields","all_fields"
"010120","LS일렉트릭","21","report_type_kr=사업보고서 || pair_status=PAIRED","report_type_kr=사업보고서 || filing_date=2026-03-18 || fiscal_period_inferred=FY2025 (연간, 2025.01-2025.12) || is_revision=False || pdf_file_name=[엘에스일렉트릭]사업보고서(2026.03.18).pdf || pdf_sha256=65ba121cd38b092d443b9ee731896d9f48fe3ceae3aae9bab4eb4ec208853c3c || xbrl_zip_file_name=[엘에스일렉트릭]사업보고서_IFRS(원문XBRL)(2026.03.18).zip || xbrl_zip_sha256=294b8cf7de026feae369d68147c7a793ea7d4b9031edd5c1828a0b2ad8848af4 || pair_status=PAIRED"
"010120","LS일렉트릭","22","report_type_kr=분기보고서 || pair_status=PAIRED","report_type_kr=분기보고서 || filing_date=2026-05-14 || fiscal_period_inferred=FY2026 1분기 (2026.01-2026.03) || is_revision=False || pdf_file_name=[엘에스일렉트릭]분기보고서(2026.05.14).pdf || pdf_sha256=bd3ad7217b5e4da476d8e4a162b25273fb2b5834c8337179e91c4b7fb967c2eb || xbrl_zip_file_name=[엘에스일렉트릭]분기보고서_IFRS(원문XBRL)(2026.05.14).zip || xbrl_zip_sha256=14b39137aee7beb2bb6958d967c6f9ce13c8cde9441641f27d63e9fb6cb30920 || pair_status=PAIRED"
"012450","한화에어로스페이스","1","report_type=반기보고서 || pair_status=PAIRED","report_type=반기보고서 || filing_date=2021.08.17 || corrected_disclosure=Y || pdf_file=[한화에어로스페이스][정정]반기보고서(2021.08.17).pdf || xbrl_zip_file=[한화에어로스페이스][정정]반기보고서_IFRS(원문XBRL)(2021.08.17).zip || pair_status=PAIRED"
"012450","한화에어로스페이스","2","report_type=분기보고서 || pair_status=PAIRED","report_type=분기보고서 || filing_date=2021.11.12 || corrected_disclosure=N || pdf_file=[한화에어로스페이스]분기보고서(2021.11.12).pdf || xbrl_zip_file=[한화에어로스페이스]분기보고서_IFRS(원문XBRL)(2021.11.12).zip || pair_status=PAIRED"
"012450","한화에어로스페이스","3","report_type=분기보고서 || pair_status=PAIRED","report_type=분기보고서 || filing_date=2022.05.16 || corrected_disclosure=N || pdf_file=[한화에어로스페이스]분기보고서(2022.05.16).pdf || xbrl_zip_file=[한화에어로스페이스]분기보고서_IFRS(원문XBRL)(2022.05.16).zip || pair_status=PAIRED"
"012450","한화에어로스페이스","4","report_type=반기보고서 || pair_status=PAIRED","report_type=반기보고서 || filing_date=2022.08.12 || corrected_disclosure=N || pdf_file=[한화에어로스페이스]반기보고서(2022.08.12).pdf || xbrl_zip_file=[한화에어로스페이스]반기보고서_IFRS(원문XBRL)(2022.08.12).zip || pair_status=PAIRED"
"012450","한화에어로스페이스","5","report_type=사업보고서 || pair_status=PAIRED","report_type=사업보고서 || filing_date=2022.08.12 || corrected_disclosure=Y || pdf_file=[한화에어로스페이스][정정]사업보고서(2022.08.12).pdf || xbrl_zip_file=[한화에어로스페이스][정정]사업보고서_IFRS(원문XBRL)(2022.08.12).zip || pair_status=PAIRED"
"012450","한화에어로스페이스","6","report_type=분기보고서 || pair_status=PAIRED","report_type=분기보고서 || filing_date=2022.11.11 || corrected_disclosure=N || pdf_file=[한화에어로스페이스]분기보고서(2022.11.11).pdf || xbrl_zip_file=[한화에어로스페이스]분기보고서_IFRS(원문XBRL)(2022.11.11).zip || pair_status=PAIRED"
"012450","한화에어로스페이스","7","report_type=사업보고서 || pair_status=PAIRED","report_type=사업보고서 || filing_date=2023.03.21 || corrected_disclosure=Y || pdf_file=[한화에어로스페이스][정정]사업보고서(2023.03.21).pdf || xbrl_zip_file=[한화에어로스페이스][정정]사업보고서_IFRS(원문XBRL)(2023.03.21).zip || pair_status=PAIRED"
"012450","한화에어로스페이스","8","report_type=분기보고서 || pair_status=PAIRED","report_type=분기보고서 || filing_date=2023.05.12 || corrected_disclosure=N || pdf_file=[한화에어로스페이스]분기보고서(2023.05.12).pdf || xbrl_zip_file=[한화에어로스페이스]분기보고서_IFRS(원문XBRL)(2023.05.12).zip || pair_status=PAIRED"
