security_id,market,market_date,raw_close,volume,exchange_trading_value
010120,KR,2021-05-11,57800,87420,5005194500
010120,KR,2021-05-12,56200,90103,5089357700
010120,KR,2021-05-13,55100,115541,6383135500
010120,KR,2021-05-14,55200,51575,2849290700
010120,KR,2021-05-17,54800,55838,3067745700
010120,KR,2021-05-18,55100,86345,4771612100
010120,KR,2021-05-20,54800,81442,4429835400
010120,KR,2021-05-21,55400,63150,3491984500
010120,KR,2021-05-24,55100,43279,2375841300
010120,KR,2021-05-25,55500,77983,4331834700
010120,KR,2021-05-26,56200,94025,5280203400
010120,KR,2021-05-27,56700,64474,3623637600
010120,KR,2021-05-28,56900,48512,2750499700
010120,KR,2021-05-31,56800,86617,4934670700
010120,KR,2021-06-01,57400,66523,3809344100
010120,KR,2021-06-02,57900,95864,5547618700
010120,KR,2021-06-03,57600,77046,4470661800
010120,KR,2021-06-04,57000,68106,3893113500
010120,KR,2021-06-07,59700,239841,14100393700
010120,KR,2021-06-08,59000,208520,12390591800
010120,KR,2021-06-09,57900,100537,5859977400
010120,KR,2021-06-10,57200,96674,5558652300
010120,KR,2021-06-11,57900,80106,4644245700
010120,KR,2021-06-14,57500,66887,3837766000
010120,KR,2021-06-15,57900,71766,4132438600
010120,KR,2021-06-16,57900,73245,4236886200
010120,KR,2021-06-17,56400,158310,8956976300
010120,KR,2021-06-18,56800,65464,3710172500
010120,KR,2021-06-21,55600,113306,6349266700
010120,KR,2021-06-22,56200,45658,2558708900
010120,KR,2021-06-23,55400,100331,5577455700
010120,KR,2021-06-24,55500,95002,5259464100
010120,KR,2021-06-25,55800,77342,4327022900
010120,KR,2021-06-28,55800,50716,2827525200
010120,KR,2021-06-29,55300,99531,5512953200
010120,KR,2021-06-30,55900,63437,3527201700
010120,KR,2021-07-01,56300,79367,4454178100
010120,KR,2021-07-02,55700,79948,4471093900
010120,KR,2021-07-05,56100,65434,3663404600
010120,KR,2021-07-06,56800,124630,7069603300
010120,KR,2021-07-07,56400,83870,4708925800
010120,KR,2021-07-08,55700,81459,4555147100
010120,KR,2021-07-09,55000,120584,6593537900
010120,KR,2021-07-12,56200,86354,4821289900
010120,KR,2021-07-13,56200,89677,5031026700
