cell_id,cell_shortage_flag,cell_shortage_reason,resolution,review_cycle_id
KR_AI_ROBOTICS,0,,,RC-2026-03-31
US_AI_ROBOTICS,0,,,RC-2026-03-31
KR_ENERGY_POWER,0,,,RC-2026-03-31
US_ENERGY_POWER,0,,,RC-2026-03-31
KR_SPACE_DEFENSE,0,,,RC-2026-03-31
US_SPACE_DEFENSE,0,,,RC-2026-03-31
KR_AI_ROBOTICS,0,,,RC-2026-06-30
US_AI_ROBOTICS,0,,,RC-2026-06-30
KR_ENERGY_POWER,0,,,RC-2026-06-30
US_ENERGY_POWER,0,,,RC-2026-06-30
KR_SPACE_DEFENSE,0,,,RC-2026-06-30
US_SPACE_DEFENSE,0,,,RC-2026-06-30
