security_id,market,observation_end_date,open_days_target,observed_open_days,halt_days_90,zero_volume_days_90,missing_days_90,traded_days_90,seasoning_days,seasoning_status,adtv90_zero,adtv90_exclude_halt,official_adtv90,official_adtv90_method,rule_version,adtv90_status,data_cutoff_date,selection_date,review_cycle_id
KTOS,US,2016-06-23,90,90,0,0,0,90,876,SEASONED,2090117.822222222,2090117.822222222,2090117.822222222,ZERO,v0.9-pilot,CALCULATED,2016-06-23,2016-06-30,RC-2016-06-30
SPCX,US,2016-06-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2016-06-23,2016-06-30,RC-2016-06-30
TER,US,2016-06-23,90,90,0,0,0,90,876,SEASONED,32678176.82222222,32678176.82222222,32678176.82222222,ZERO,v0.9-pilot,CALCULATED,2016-06-23,2016-06-30,RC-2016-06-30
010120,KR,2016-09-23,90,90,0,0,0,90,918,SEASONED,3829426530.0,3829426530.0,3829426530.0,ZERO,v0.9-pilot,CALCULATED,2016-09-23,2016-09-30,RC-2016-09-30
012450,KR,2016-09-23,90,90,0,0,0,90,918,SEASONED,19795570624.18889,19795570624.18889,19795570624.18889,ZERO,v0.9-pilot,CALCULATED,2016-09-23,2016-09-30,RC-2016-09-30
018260,KR,2016-09-23,90,90,0,0,0,90,458,SEASONED,28090065262.377777,28090065262.377777,28090065262.377777,ZERO,v0.9-pilot,CALCULATED,2016-09-23,2016-09-30,RC-2016-09-30
064350,KR,2016-09-23,90,90,0,0,0,90,714,SEASONED,5862298077.777778,5862298077.777778,5862298077.777778,ZERO,v0.9-pilot,CALCULATED,2016-09-23,2016-09-30,RC-2016-09-30
064400,KR,2016-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2016-09-23,2016-09-30,RC-2016-09-30
079550,KR,2016-09-23,90,90,0,0,0,90,240,SEASONED,11712131973.88889,11712131973.88889,11712131973.88889,ZERO,v0.9-pilot,CALCULATED,2016-09-23,2016-09-30,RC-2016-09-30
267260,KR,2016-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2016-09-23,2016-09-30,RC-2016-09-30
298040,KR,2016-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2016-09-23,2016-09-30,RC-2016-09-30
307950,KR,2016-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2016-09-23,2016-09-30,RC-2016-09-30
ALAB,US,2016-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2016-09-23,2016-09-30,RC-2016-09-30
ANET,US,2016-09-23,90,90,0,0,0,90,581,SEASONED,54428831.50044444,54428831.50044444,54428831.50044444,ZERO,v0.9-pilot,CALCULATED,2016-09-23,2016-09-30,RC-2016-09-30
